LAT,LONG,slope
53.415,-2.313,-0.10591463048116752
51.51,-0.154,0.04164680432650816
52.162,0.001,-0.27192292081681546
51.086,1.178,-0.06678341134482575
51.596,-0.143,0.17654749803579028
53.854,-1.547,0.05641682037500898
54.835,-1.35,0.05330913489304574
51.574,0.515,-0.11120387458568118
53.447,-2.278,0.07984786591425141
51.743,-0.868,-0.2084953258218268
53.988,-1.059,0.11966538216154705
52.19,0.13,0.4303012537014277
54.541,-1.262,-0.06634665455101985
51.435,-0.904,0.2851355578762235
51.456,-0.069,0.13047923998377023
51.461,-0.176,0.6711640450852766
53.565,-2.443,0.14003523832633763
52.647,-1.145,0.01718921297073337
51.403,-0.099,0.12744021966785124
53.504,-2.274,0.11928203978516021
51.592,-1.431,-0.17821709863757038
51.545,-0.179,0.06323360829600488
51.62,-2.981,-0.179581970416241
51.644,-2.162,-0.012698631848146296
51.754,-0.577,-0.16568045047379784
51.47,-0.012,0.08777446052946418
53.219,-0.46,-0.3498120837378066
52.47,-1.823,0.1321310086077813
51.445,-0.129,0.08325509647140528
53.169,-1.499,-0.0930457171784887
52.335,-1.656,-0.0696837462340278
54.309,-2.453,-0.055418071699683755
52.606,0.389,0.028926378822218757
53.824,-1.552,-0.005141304007530231
51.543,-0.195,0.0709964883913197
52.558,-3.516,0.2607760374956244
53.352,-2.091,-0.3074590723693179
53.564,-1.447,0.07466734571726574
54.002,-1.055,0.022608866576713627
54.017,-1.438,-0.1037997200717043
51.759,0.092,-0.04079439499157998
53.577,-0.063,-0.06403254036030688
51.581,0.077,0.11351928166006145
51.135,-2.916,-0.18173839734789785
51.585,-0.409,0.06178977451851933
54.685,-1.225,-0.0982929088574689
53.287,-2.119,0.03283270156709344
50.934,-0.063,-0.16610225618222726
52.041,1.128,-0.08777655645663687
51.433,-0.172,0.06825713379199212
51.429,-0.071,0.028835647322871
52.401,-4.064,-0.18435472996993293
53.556,-0.661,-0.05475165460934623
51.841,-0.009,0.12278570091354743
53.196,-0.108,0.15665326653719117
51.547,-0.236,0.11080715382261189
52.019,-0.238,-0.14538794123895862
53.758,-1.877,0.10815837399660098
51.471,0.135,-0.06116237755964335
53.624,-2.159,0.12748680297042006
51.376,-0.5,-0.15246352442937428
50.96,-2.517,-0.03779059870812101
51.284,-1.407,0.029605648908679068
52.316,1.157,-0.01617307631271697
52.484,-0.694,-0.013585468192303047
51.284,-0.964,-0.2321224966039282
51.209,-2.646,-0.2694237225602485
51.144,-0.315,0.062131026409341636
53.474,-2.296,0.5357542647568766
52.478,-1.918,0.7573435909785191
53.809,-0.33,0.10780519401545921
51.489,-2.761,-0.05314843820675203
51.611,-0.158,0.053008239671542404
52.62,-1.079,0.07482653355518033
51.549,-0.159,0.046317452281067005
53.712,-1.62,0.15906469239864132
54.272,-0.937,0.2214773209109047
54.853,-1.588,0.17056462874433112
53.457,-2.073,0.11554850776113268
53.51,-2.45,-0.059707085577674235
52.995,-1.108,-0.10772861832811396
50.849,-0.126,-0.1437274009059563
51.581,0.062,0.08901602417169525
51.438,0.046,-0.033959354672983944
51.458,-0.205,0.36952916199169694
51.546,-0.039,0.06773005829361371
51.266,-0.137,-0.007243717028881631
54.659,-2.77,0.00062668897977294
51.42,-0.017,0.1347198135019843
51.611,0.111,0.0573039632104824
54.975,-1.399,-0.06406133136302088
50.847,-1.776,0.1677770551466644
51.239,0.558,0.024490109057075927
51.422,-0.152,0.047893081001754344
53.325,-2.251,-0.22971401153912127
52.19,-2.234,0.16428907049212513
52.08,0.573,-0.15817611598920905
52.452,-2.086,-0.0829619007634792
54.982,-1.736,-0.11189755083638458
53.546,-2.084,0.03116785033963885
51.8,1.183,0.15144979629067049
51.843,0.832,0.015053584185089
51.647,-0.266,-0.07117968105618196
52.224,0.144,-0.15070314022807596
51.006,-0.693,-0.04787562700511149
53.572,-1.472,0.10408722789761228
51.535,0.025,0.07074669546044406
