grid,mean_prob,std_prob
0.01,0.2832013906053635,0.19558848856743943
0.033,0.28308492361897875,0.19611023679703327
0.056,0.2856437301820738,0.20059222478307595
0.079,0.2862665697320131,0.2061302605565696
0.102,0.27914728222414514,0.2081470339239881
0.12499999999999999,0.25901132629027257,0.20910889735047655
0.14800000000000002,0.2480212451840855,0.20552252073122734
0.171,0.2393069106134483,0.19617681037580512
0.194,0.23815650834006302,0.18996912911970892
0.217,0.2414718954065946,0.18868494030406865
0.24,0.24951339568662664,0.19003581299474612
0.263,0.26040588728862296,0.19010302173385993
0.28600000000000003,0.27494091749998595,0.19495809844451148
0.309,0.2798911945320593,0.1927372723168766
0.332,0.2814380046293721,0.19244799486079556
0.355,0.2842098444253683,0.1889958478779141
0.378,0.2920359627703108,0.17950059555071424
0.401,0.29203596277031074,0.17950059555071426
0.424,0.2920359627703108,0.17950059555071424
0.447,0.2920359627703108,0.17950059555071424
