grid,mean_prob,std_prob
0.01,0.7167986093946374,0.19558848856743952
0.033,0.7169150763810225,0.19611023679703335
0.056,0.7143562698179263,0.20059222478307595
0.079,0.7137334302679857,0.20613026055656958
0.102,0.7208527177758548,0.2081470339239881
0.12499999999999999,0.7409886737097271,0.20910889735047644
0.14800000000000002,0.7519787548159134,0.2055225207312272
0.171,0.7606930893865507,0.19617681037580514
0.194,0.7618434916599371,0.18996912911970879
0.217,0.7585281045934056,0.1886849403040686
0.24,0.7504866043133726,0.19003581299474614
0.263,0.7395941127113753,0.19010302173385973
0.28600000000000003,0.7250590825000155,0.1949580984445115
0.309,0.72010880546794,0.19273727231687665
0.332,0.7185619953706333,0.19244799486079583
0.355,0.715790155574632,0.18899584787791404
0.378,0.7079640372296886,0.1795005955507144
0.401,0.7079640372296886,0.1795005955507144
0.424,0.7079640372296886,0.17950059555071443
0.447,0.7079640372296886,0.17950059555071443
