grid,mean_prob,std_prob
0.011,0.5432004063438798,0.1565068229986143
0.026368421052631576,0.5959186808249683,0.1795247788019827
0.041736842105263156,0.6843622302141087,0.16607573797784908
0.05710526315789473,0.760705166970173,0.13713038491120735
0.07247368421052632,0.8074434821648044,0.10976653212472612
0.08784210526315789,0.8559063301668491,0.08877415197157702
0.10321052631578946,0.8732476423573842,0.0847299030053059
0.11857894736842105,0.8951524329286573,0.07622375222434562
0.13394736842105262,0.9014519439633083,0.07610619674267043
0.1493157894736842,0.902895332993499,0.07607188584745131
0.1646842105263158,0.9026141581492436,0.0759972144712045
0.18005263157894738,0.8993775142896202,0.07442612099095118
0.19542105263157894,0.9003785974033836,0.07514213836222387
0.21078947368421053,0.9001409961819092,0.07518461238687169
0.2261578947368421,0.9001409961819092,0.07518461238687169
0.24152631578947367,0.9001409961819091,0.07518461238687167
0.25689473684210523,0.9001409961819091,0.07518461238687167
0.2722631578947368,0.9001409961819091,0.07518461238687169
0.2876315789473684,0.9001409961819092,0.07518461238687169
0.303,0.9001409961819091,0.0751846123868717
