grid,mean_prob,std_prob
0.014,0.7638119085723036,0.18001530752500977
0.034736842105263156,0.7706097000136723,0.1836814291604713
0.05547368421052631,0.7704438917603232,0.19105935793797155
0.07621052631578946,0.7682144716785054,0.19556382448947304
0.09694736842105262,0.7596458491382886,0.20075963370784522
0.11768421052631577,0.7514800796158438,0.2090248913584573
0.13842105263157894,0.7497847216271532,0.20283312030336714
0.15915789473684208,0.7442795332372575,0.1984149877754599
0.17989473684210525,0.7519181399821309,0.17510526967017842
0.2006315789473684,0.766230088204044,0.1554906385913011
0.22136842105263155,0.7671053704107602,0.1460842921511192
0.2421052631578947,0.7692755019557058,0.1453674666651244
0.2628421052631579,0.7715219922426544,0.1435924811521803
0.28357894736842104,0.7697864116437549,0.14128527523286016
0.30431578947368415,0.7670282852310685,0.14049734888312684
0.3250526315789473,0.7663397925986464,0.14036466912241244
0.3457894736842105,0.766359144569903,0.1403458438165621
0.36652631578947364,0.7663549588947207,0.14034306338002994
0.3872631578947368,0.7662904784785535,0.14026237919374165
0.408,0.7662904784785535,0.14026237919374165
