LAT,LONG,slope
53.415,-2.313,0.13834532079865955
51.51,-0.154,-0.07160187750066607
52.162,0.001,-0.026121562098118074
51.086,1.178,0.153948511404069
51.596,-0.143,0.08615411073534597
53.854,-1.547,0.16158477411074587
54.835,-1.35,-0.0238035750169182
51.574,0.515,0.20828601005442518
53.447,-2.278,0.17242164629951506
51.743,-0.868,0.1388764790517579
53.988,-1.059,-0.06299639364872495
52.19,0.13,0.10448520026517547
54.541,-1.262,0.19808464923899008
51.435,-0.904,0.18595028341929826
51.456,-0.069,0.12563978407946516
51.461,-0.176,-0.03464770261510183
53.565,-2.443,-0.047908917499751805
52.647,-1.145,0.12807391861584738
51.403,-0.099,-0.025126277965986463
53.504,-2.274,0.023700610559276383
51.592,-1.431,0.06499746754863753
51.545,-0.179,-0.05204213681440219
51.62,-2.981,-0.14614821310758933
51.644,-2.162,-0.1353209177706585
51.754,-0.577,0.10601921011942791
51.47,-0.012,-0.062122771072023374
53.219,-0.46,-0.35481916980902106
52.47,-1.823,-0.05048459455879001
51.445,-0.129,-0.05228024733311333
53.169,-1.499,-0.1952539378232825
52.335,-1.656,0.15118480088520864
54.309,-2.453,-0.41620313060414127
52.606,0.389,-0.02251860790238467
53.824,-1.552,0.08448613886920034
51.543,-0.195,-0.12210657552460918
52.558,-3.516,-0.2246482720171991
53.352,-2.091,-0.3570130467431083
53.564,-1.447,0.049078530502451076
54.002,-1.055,-0.08459369872813173
54.017,-1.438,0.0907327811297174
51.759,0.092,0.16155126366088568
53.577,-0.063,-0.13062771688607583
51.581,0.077,-0.05165178120904982
51.135,-2.916,-0.3898191903780816
51.585,-0.409,0.16671495001673003
54.685,-1.225,0.057572290638228225
53.287,-2.119,-0.007879489267464382
50.934,-0.063,-0.26231781242511726
52.041,1.128,0.22496297047267333
51.433,-0.172,-0.055276927500311886
51.429,-0.071,-0.025711600267495582
52.401,-4.064,-0.09166260678517481
53.556,-0.661,-0.09405850589092621
51.841,-0.009,0.02862734796321345
53.196,-0.108,-0.07307079948460801
51.547,-0.236,-0.042734603717954386
52.019,-0.238,0.07381005107475173
53.758,-1.877,-0.08023297924437756
51.471,0.135,0.18056163778297393
53.624,-2.159,-0.034198512998826786
51.376,-0.5,0.21451878488701684
50.96,-2.517,-0.0029650856482329345
51.284,-1.407,-0.22022800622898392
52.316,1.157,-0.106942603945345
52.484,-0.694,-0.03843951230043012
51.284,-0.964,0.1121213486919593
51.209,-2.646,-0.0077865407547768285
51.144,-0.315,-0.20365626489372426
53.474,-2.296,-0.28314447448561375
52.478,-1.918,-0.37010318370076933
53.809,-0.33,-0.02395306808315284
51.489,-2.761,0.1223993769120879
51.611,-0.158,0.006337410418571097
52.62,-1.079,-0.019035369919668085
51.549,-0.159,0.0072982983165190245
53.712,-1.62,-0.007182759588579222
54.272,-0.937,-0.19380581488166498
54.853,-1.588,-0.05078833061370412
53.457,-2.073,0.027580872554098364
53.51,-2.45,0.0038881060459206797
52.995,-1.108,0.21379344566711153
50.849,-0.126,0.0347042647601829
51.581,0.062,-0.0740584088976405
51.438,0.046,0.15489945308869618
51.458,-0.205,-0.008105802659165775
51.546,-0.039,-0.030658007219451743
51.266,-0.137,0.31498352046936906
54.659,-2.77,-0.2551582731645362
51.42,-0.017,-0.063961850771717
51.611,0.111,0.05288884675364687
54.975,-1.399,-0.0967434646665228
50.847,-1.776,-0.08652296076601176
51.239,0.558,0.1173453627988164
51.422,-0.152,-0.05690096785783445
53.325,-2.251,0.06317650145755081
52.19,-2.234,0.025692987582037946
52.08,0.573,-0.28802823995760746
52.452,-2.086,0.18624517506311825
54.982,-1.736,0.053472504043518235
53.546,-2.084,0.08139849667251764
51.8,1.183,-0.06322045800391779
51.843,0.832,-0.1323898183483506
51.647,-0.266,0.14243521567514264
52.224,0.144,0.12053241168678602
51.006,-0.693,-0.23720618945719063
53.572,-1.472,-0.09307207616890163
51.535,0.025,0.0026460760981379624
51.768,0.121,0.22577786250902782
51.377,-2.395,-0.036042790572559644
55.045,-1.46,-0.08185971707442936
51.439,-0.195,0.3022602309320505
52.688,-2.758,-0.10905461500963613
53.926,-0.895,-0.08943102300669643
54.569,-1.139,-0.06974344675451756
52.823,-0.16,-0.14633620634372255
52.604,-0.258,0.28028896032749206
51.641,-0.381,0.17425058977885155
51.335,-0.107,0.2109069503095636
51.814,-3.022,0.005287909989479926
52.407,-0.721,0.25290755514875657
52.657,0.172,0.05563773816212697
52.516,-2.005,-0.06234114182161638
51.543,-2.421,0.00012361879981460312
51.56,-1.76,0.09251096112466554
53.717,-1.89,-0.049570330676290686
51.591,-0.281,-0.025978113872789806
53.763,-0.282,-0.08490425702552483
51.434,-0.152,0.14225403209919446
51.317,-0.587,0.20275117879133048
51.47,-2.588,-0.4431761897156847
54.567,-2.818,-0.29640334854838757
53.384,-1.487,-0.06700211346058778
