indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.518,0.399,0.113,0.102,0.204,0.054,0.058,52.115,-0.461
0.532,0.202,0.152,0.11,0.232,0.055,0.052,53.803,-1.475
0.518,0.019,0.18,0.367,0.121,0.054,0.028,51.228,-2.991
0.523,0.621,0.186,0.153,0.225,0.119,0.08,51.606,-0.287
0.51,0.077,0.077,0.157,0.211,0.029,0.047,52.474,-1.195
0.536,0.179,0.153,0.213,0.164,0.06,0.033,51.626,0.053
0.516,0.269,0.054,0.102,0.126,0.044,0.063,51.468,-0.083
0.543,0.05,0.167,0.244,0.17,0.062,0.058,51.082,-1.8
0.529,0.315,0.166,0.104,0.193,0.073,0.06,51.378,-0.181
0.53,0.086,0.084,0.227,0.134,0.029,0.044,51.745,-1.141
0.52,0.33,0.064,0.094,0.118,0.049,0.072,51.516,-0.192
0.527,0.238,0.143,0.198,0.167,0.066,0.072,51.366,-0.145
0.503,0.047,0.163,0.231,0.179,0.051,0.032,51.406,-2.58
0.507,0.204,0.218,0.151,0.241,0.088,0.049,51.567,0.498
0.506,0.021,0.094,0.254,0.155,0.038,0.028,51.977,-2.169
0.525,0.244,0.055,0.132,0.161,0.047,0.048,51.549,-0.169
0.506,0.04,0.129,0.134,0.196,0.046,0.039,53.446,-2.415
0.504,0.029,0.081,0.26,0.162,0.034,0.045,51.835,-1.94
0.512,0.106,0.133,0.193,0.175,0.038,0.039,51.444,-1.058
0.541,0.763,0.201,0.108,0.236,0.155,0.093,51.595,-0.082
0.519,0.366,0.117,0.175,0.186,0.074,0.058,51.4,-0.269
0.509,0.04,0.124,0.332,0.133,0.06,0.034,52.781,-0.393
0.515,0.154,0.135,0.091,0.217,0.051,0.047,51.66,0.086
0.539,0.857,0.193,0.066,0.354,0.16,0.102,52.498,-1.875
0.493,0.039,0.164,0.209,0.176,0.042,0.043,52.015,0.566
0.507,0.051,0.18,0.334,0.13,0.055,0.03,51.369,-2.136
0.454,0.644,0.219,0.11,0.217,0.201,0.13,53.388,-1.487
0.505,0.035,0.09,0.322,0.171,0.032,0.038,51.554,-1.12
0.523,0.144,0.085,0.156,0.148,0.037,0.027,51.41,-0.834
0.521,0.108,0.168,0.118,0.28,0.072,0.049,51.519,-2.673
0.52,0.771,0.24,0.11,0.221,0.168,0.098,52.521,-1.997
0.516,0.025,0.212,0.277,0.147,0.049,0.04,52.498,-0.725
0.545,0.032,0.141,0.334,0.135,0.053,0.021,52.698,-2.737
0.5,0.322,0.109,0.112,0.188,0.067,0.037,51.352,-0.191
0.516,0.556,0.088,0.046,0.175,0.071,0.076,51.483,-0.038
0.521,0.031,0.166,0.197,0.211,0.069,0.046,52.719,-2.723
0.509,0.033,0.157,0.235,0.188,0.054,0.044,50.911,-1.497
0.493,0.025,0.194,0.321,0.128,0.068,0.033,52.475,-2.171
0.521,0.106,0.137,0.174,0.226,0.07,0.044,51.777,-0.014
0.536,0.035,0.158,0.236,0.172,0.069,0.038,53.543,-2.071
0.52,0.181,0.182,0.101,0.21,0.096,0.093,50.832,-0.114
0.5,0.028,0.118,0.281,0.154,0.043,0.041,51.465,-1.942
0.509,0.177,0.198,0.167,0.219,0.084,0.039,51.77,0.101
0.509,0.046,0.13,0.187,0.183,0.043,0.049,53.767,-0.377
0.495,0.6,0.273,0.075,0.323,0.229,0.074,53.411,-1.443
0.51,0.648,0.194,0.075,0.278,0.137,0.088,53.607,-2.137
0.496,0.164,0.064,0.069,0.094,0.029,0.39,50.84,-0.116
0.524,0.056,0.2,0.193,0.215,0.071,0.051,53.631,-1.514
0.512,0.266,0.071,0.073,0.254,0.031,0.044,52.087,-0.783
0.509,0.017,0.099,0.237,0.177,0.039,0.046,53.717,-0.526
0.546,0.04,0.132,0.264,0.198,0.045,0.052,50.915,0.463
0.524,0.532,0.155,0.068,0.243,0.102,0.067,51.583,0.001
0.512,0.184,0.191,0.11,0.244,0.064,0.068,50.942,-1.386
0.55,0.449,0.152,0.191,0.187,0.098,0.068,51.428,-0.062
0.517,0.489,0.178,0.115,0.219,0.112,0.077,53.457,-2.284
0.516,0.044,0.121,0.301,0.113,0.063,0.025,51.213,1.399
0.447,0.16,0.156,0.09,0.093,0.105,0.033,53.836,-1.78
0.497,0.015,0.171,0.275,0.143,0.082,0.032,54.887,-1.68
0.525,0.131,0.184,0.103,0.308,0.095,0.057,53.491,-2.056
0.469,0.216,0.172,0.123,0.164,0.054,0.051,52.065,-1.347
0.524,0.03,0.124,0.403,0.117,0.068,0.031,54.803,-1.567
0.494,0.019,0.158,0.203,0.174,0.055,0.035,53.302,-1.897
0.509,0.523,0.138,0.163,0.208,0.082,0.062,51.535,-0.356
0.519,0.643,0.181,0.151,0.208,0.122,0.082,53.454,-2.276
0.503,0.229,0.112,0.141,0.23,0.066,0.044,51.307,-0.552
0.544,0.187,0.035,0.093,0.234,0.05,0.056,51.452,-0.164
0.498,0.222,0.203,0.217,0.174,0.103,0.049,52.437,-1.981
0.509,0.278,0.177,0.169,0.138,0.112,0.123,51.391,-0.295
0.509,0.292,0.113,0.188,0.201,0.053,0.056,52.575,-2.177
0.51,0.023,0.147,0.309,0.151,0.034,0.031,52.675,-3.231
0.504,0.105,0.151,0.172,0.204,0.05,0.035,51.569,0.556
0.518,0.711,0.156,0.068,0.221,0.086,0.074,51.536,-0.3
0.519,0.099,0.065,0.255,0.194,0.034,0.044,52.962,-1.481
0.504,0.02,0.164,0.156,0.176,0.049,0.038,53.564,-1.394
0.533,0.037,0.083,0.292,0.136,0.039,0.042,53.838,-1.874
0.53,0.16,0.18,0.101,0.232,0.095,0.05,52.62,-0.272
0.483,0.891,0.183,0.106,0.255,0.155,0.096,51.557,0.079
0.513,0.012,0.249,0.253,0.194,0.09,0.019,53.582,-1.42
0.508,0.068,0.09,0.322,0.133,0.034,0.046,53.858,-1.835
0.526,0.578,0.174,0.069,0.253,0.108,0.077,51.608,-0.26
0.517,0.047,0.109,0.311,0.117,0.054,0.03,52.125,-2.324
0.544,0.46,0.078,0.057,0.124,0.072,0.164,51.566,-0.11
0.516,0.225,0.18,0.247,0.151,0.084,0.03,51.901,-0.4
0.46,0.236,0.018,0.05,0.02,0.009,0.784,52.209,0.123
0.494,0.211,0.051,0.031,0.274,0.026,0.048,51.542,-1.79
0.489,0.153,0.104,0.098,0.181,0.044,0.03,51.4,-1.313
0.514,0.085,0.127,0.183,0.169,0.046,0.043,53.492,-2.125
0.512,0.112,0.196,0.183,0.212,0.078,0.041,50.84,-0.072
0.509,0.496,0.19,0.137,0.214,0.099,0.071,52.529,-1.98
0.44,0.871,0.25,0.092,0.209,0.258,0.087,52.505,-1.915
0.524,0.504,0.151,0.103,0.252,0.089,0.073,51.433,0.012
0.504,0.944,0.229,0.054,0.329,0.221,0.11,52.486,-1.862
0.525,0.046,0.117,0.245,0.135,0.085,0.039,55.013,-1.45
0.506,0.487,0.156,0.063,0.265,0.065,0.068,51.903,-0.48
0.507,0.004,0.172,0.329,0.158,0.056,0.043,53.767,-0.221
0.479,0.276,0.024,0.008,0.024,0.022,0.624,51.451,-2.595
0.51,0.089,0.079,0.248,0.106,0.047,0.139,53.237,-0.531
0.507,0.054,0.115,0.308,0.136,0.051,0.033,53.741,-0.446
0.499,0.868,0.158,0.079,0.226,0.138,0.111,51.549,0.079
0.506,0.157,0.13,0.09,0.238,0.051,0.055,51.794,-0.2
0.509,0.057,0.121,0.234,0.179,0.033,0.07,51.716,-1.145
0.516,0.476,0.18,0.089,0.283,0.122,0.078,53.427,-2.214
0.506,0.242,0.187,0.168,0.196,0.092,0.06,53.648,-1.754
0.476,0.136,0.229,0.157,0.165,0.13,0.08,53.789,-2.252
0.523,0.059,0.18,0.191,0.183,0.065,0.064,51.788,0.019
0.516,0.077,0.138,0.21,0.137,0.094,0.054,54.979,-1.431
0.523,0.184,0.18,0.173,0.176,0.081,0.045,52.405,-1.974
0.51,0.67,0.158,0.182,0.194,0.116,0.082,52.435,-1.853
0.507,0.033,0.138,0.194,0.205,0.04,0.04,51.282,-2.474
0.518,0.05,0.121,0.209,0.199,0.034,0.04,51.2,-0.611
0.487,0.074,0.127,0.216,0.127,0.067,0.024,51.075,-1.815
0.507,0.039,0.087,0.183,0.148,0.023,0.041,51.448,-2.1
0.555,0.239,0.205,0.132,0.255,0.1,0.052,52.496,-1.767
0.484,0.66,0.18,0.121,0.202,0.082,0.079,51.601,-0.296
0.505,0.205,0.096,0.182,0.211,0.031,0.03,51.37,-0.252
