grid,mean_prob,std_prob
0.011,0.4567995936561217,0.15650682299861426
0.026368421052631576,0.4040813191750326,0.17952477880198262
0.041736842105263156,0.3156377697858896,0.16607573797784908
0.05710526315789473,0.23929483302982726,0.13713038491120738
0.07247368421052632,0.1925565178351961,0.10976653212472604
0.08784210526315789,0.14409366983315086,0.08877415197157706
0.10321052631578946,0.12675235764261486,0.0847299030053059
0.11857894736842105,0.10484756707134155,0.07622375222434576
0.13394736842105262,0.09854805603669399,0.07610619674267038
0.1493157894736842,0.09710466700650132,0.07607188584745132
0.1646842105263158,0.09738584185075458,0.07599721447120446
0.18005263157894738,0.10062248571038028,0.07442612099095124
0.19542105263157894,0.09962140259661528,0.07514213836222386
0.21078947368421053,0.0998590038180894,0.07518461238687163
0.2261578947368421,0.09985900381808938,0.07518461238687163
0.24152631578947367,0.0998590038180894,0.07518461238687163
0.25689473684210523,0.0998590038180894,0.07518461238687163
0.2722631578947368,0.09985900381808938,0.07518461238687163
0.2876315789473684,0.09985900381808938,0.07518461238687163
0.303,0.09985900381808938,0.07518461238687163
