Group,ORI
Sex Female,1.0020780500666133
Ethnic Nonwhite,1.4267313172818914
Education Noqualification,1.0201357325569238
Age Elder,0.8870779490794467
Age Children,1.0373170868338137
Ns Sec Unemployed,1.129166003686686
Ns Sec Students,1.094482097225981
