indicator_sex_female,indicator_Ethnic_nonwhite,indicator_education_noqualification,indicator_age_elder,indicator_age_children,indicator_NS-SeC_unemployed,indicator_NS-SeC_students,LAT,LONG
0.495,0.196,0.124,0.217,0.166,0.041,0.056,52.315,-0.71
0.498,0.108,0.145,0.163,0.176,0.054,0.052,53.795,-1.634
0.522,0.636,0.147,0.073,0.199,0.099,0.089,51.48,-0.052
0.516,0.083,0.056,0.205,0.221,0.033,0.046,51.623,-0.603
0.514,0.377,0.144,0.081,0.181,0.078,0.057,51.607,-0.114
0.518,0.158,0.141,0.182,0.151,0.074,0.046,53.528,-2.275
0.464,0.102,0.195,0.158,0.187,0.116,0.036,54.075,-2.862
0.513,0.125,0.252,0.105,0.25,0.088,0.053,53.758,-1.53
0.52,0.044,0.236,0.272,0.139,0.097,0.032,51.646,-3.027
0.499,0.529,0.168,0.091,0.194,0.113,0.106,51.497,-0.011
0.54,0.319,0.164,0.29,0.154,0.1,0.039,51.637,-0.077
0.519,0.182,0.229,0.116,0.27,0.127,0.044,51.485,-3.137
0.509,0.127,0.11,0.237,0.171,0.032,0.047,51.442,0.137
0.502,0.09,0.115,0.222,0.15,0.041,0.047,52.811,-2.091
0.501,0.16,0.151,0.137,0.202,0.048,0.033,51.563,-1.808
0.513,0.179,0.139,0.132,0.19,0.067,0.047,51.485,-3.215
0.503,0.373,0.215,0.1,0.193,0.156,0.072,52.547,-1.973
0.516,0.048,0.298,0.333,0.145,0.107,0.023,51.808,1.151
0.536,0.045,0.142,0.438,0.102,0.067,0.034,50.92,-0.267
0.5,0.155,0.13,0.105,0.21,0.043,0.036,51.113,-0.226
0.516,0.034,0.18,0.161,0.225,0.058,0.038,50.971,-1.329
0.517,0.11,0.205,0.15,0.192,0.117,0.034,53.588,-2.409
0.482,0.203,0.148,0.06,0.195,0.104,0.073,52.909,-1.454
0.524,0.03,0.236,0.302,0.159,0.093,0.033,50.399,-4.092
0.52,0.513,0.238,0.102,0.263,0.133,0.065,52.511,-2.062
0.528,0.015,0.195,0.184,0.225,0.074,0.038,52.51,-3.326
0.51,0.174,0.076,0.235,0.173,0.037,0.049,51.341,-0.715
0.491,0.7,0.145,0.124,0.235,0.098,0.087,51.572,0.124
0.506,0.025,0.184,0.248,0.147,0.039,0.041,52.81,-0.089
0.536,0.075,0.132,0.224,0.191,0.047,0.04,52.432,-1.548
0.516,0.011,0.175,0.231,0.175,0.081,0.028,54.474,-3.544
0.522,0.048,0.234,0.159,0.231,0.091,0.042,52.995,-2.128
0.509,0.052,0.153,0.311,0.101,0.05,0.043,52.63,-2.009
0.518,0.078,0.177,0.121,0.223,0.08,0.055,53.736,-2.503
0.512,0.276,0.201,0.194,0.156,0.098,0.056,53.361,-1.467
0.527,0.034,0.104,0.347,0.121,0.035,0.047,50.656,-3.851
0.507,0.04,0.116,0.265,0.149,0.041,0.036,51.531,-1.917
0.511,0.256,0.188,0.121,0.22,0.074,0.033,51.304,-0.773
0.523,0.008,0.258,0.506,0.086,0.091,0.019,53.299,0.278
0.515,0.102,0.118,0.291,0.142,0.046,0.043,51.36,0.034
0.496,0.474,0.171,0.211,0.189,0.101,0.059,51.632,-0.079
0.516,0.295,0.159,0.162,0.205,0.083,0.072,52.421,-1.526
0.537,0.728,0.173,0.091,0.219,0.131,0.102,51.488,-0.075
0.51,0.163,0.136,0.17,0.257,0.055,0.036,51.217,-0.201
0.507,0.702,0.13,0.144,0.196,0.091,0.073,51.587,-0.359
