grid,mean_prob,std_prob
0.001,0.6344521167581517,0.18996721483546458
0.052421052631578945,0.7013874959569775,0.13876434799051354
0.10384210526315789,0.7138729432427695,0.12138520497125316
0.15526315789473683,0.8030692559199609,0.09594290186295193
0.20668421052631578,0.8248209714965207,0.09359748469707849
0.2581052631578947,0.8495958311359121,0.09613856145581995
0.30952631578947365,0.8642249669531927,0.100263658686208
0.36094736842105263,0.878206790188343,0.09280796394960907
0.41236842105263155,0.886438837320797,0.09079499420151384
0.4637894736842105,0.8895528864798924,0.09044090712018162
0.5152105263157895,0.8931607542551384,0.09124987550074568
0.5666315789473684,0.8945878844739574,0.09108536460035585
0.6180526315789473,0.8950624072748681,0.09128686057137832
0.6694736842105262,0.8951098207874539,0.09130237447869008
0.7208947368421053,0.8952383286723925,0.09129521548853889
0.7723157894736842,0.8953730050328618,0.0913936430716807
0.8237368421052631,0.8953751910121804,0.09139591744769493
0.875157894736842,0.8953778522043946,0.09139765006107761
0.926578947368421,0.8953778522043945,0.09139765006107761
0.978,0.8953778522043945,0.09139765006107763
