grid,mean_prob,std_prob
0.014,0.23618809142769684,0.18001530752500977
0.034736842105263156,0.22939029998632632,0.18368142916047125
0.05547368421052631,0.229556108239674,0.19105935793797163
0.07621052631578946,0.23178552832149787,0.19556382448947326
0.09694736842105262,0.24035415086171097,0.2007596337078454
0.11768421052631577,0.24851992038415746,0.20902489135845717
0.13842105263157894,0.2502152783728477,0.20283312030336703
0.15915789473684208,0.25572046676274046,0.19841498777545982
0.17989473684210525,0.24808186001786842,0.1751052696701785
0.2006315789473684,0.23376991179595683,0.15549063859130108
0.22136842105263155,0.232894629589241,0.14608429215111907
0.2421052631578947,0.23072449804429213,0.14536746666512448
0.2628421052631579,0.22847800775734672,0.14359248115218032
0.28357894736842104,0.23021358835624323,0.14128527523286027
0.30431578947368415,0.23297171476892956,0.14049734888312687
0.3250526315789473,0.23366020740135235,0.14036466912241247
0.3457894736842105,0.233640855430096,0.14034584381656204
0.36652631578947364,0.23364504110527853,0.1403430633800299
0.3872631578947368,0.2337095215214443,0.1402623791937417
0.408,0.2337095215214443,0.1402623791937417
